envLoss,bestFit
684.9188802294493,"{9, 7}
{1, 3, 4, 5, 8, 10}
"
481.16937940320275,"{9, 7}
{1, 3, 4, 5, 8, 10}
"
368.4323019489533,"{9, 7}
{1, 3, 4, 5, 8, 10}
"
341.919727603279,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
320.75640296097595,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
301.0872084662751,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
289.4190198029045,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
259.58143591546985,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
271.956313847269,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
235.03708259780407,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
213.518336959027,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
274.5142249819098,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
251.2202709195194,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
252.6460130137288,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
211.34907006139824,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
225.93177663398592,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
212.0475498329727,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
220.5662246239781,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
219.55241894714268,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
240.92761596493696,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
248.12508275228774,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
225.73313142218694,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
235.49901463811523,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
218.86930023546077,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
195.1587726151718,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
232.4138021476377,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
198.81818372774808,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
211.58149065032475,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
220.44191637453437,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
222.85678880110996,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
195.26567398530275,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
226.3445329169606,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
184.87277432950972,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
238.69721413694114,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
187.07181688487984,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
199.26246137027374,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
192.44475437587985,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
195.20493224564672,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
160.85823100807292,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
180.49709006319094,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
182.52399118778305,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
163.28735197010542,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
183.0443077716793,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
178.55175986530122,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
166.15252153978918,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
205.73055737749712,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
181.83496125815898,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
186.68239421156701,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
204.3211042324247,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
177.00330571284687,"{3, 10, 2}
{1, 5, 7, 8, 9}
"
