envLoss,bestFit,bestFitLoss
209.34319757142873,"{2, 6, 8}
{9, 3, 4, 7}
",3.1622776601683795
114.49562575572313,"{8, 1, 7}
{3, 4, 5, 9}
",1.4142135623730951
78.32092458520452,"{8, 1, 7}
{3, 4, 5, 9}
",1.4142135623730951
61.352795621977045,"{8, 1, 7}
{3, 4, 5, 9}
",1.4142135623730951
54.97418353003862,"{8, 1, 7}
{3, 4, 5, 9}
",1.4142135623730951
44.74364249028969,"{1, 3, 5, 6}
{9, 10}
",1.0
42.83330073232602,"{1, 3, 5, 6}
{9, 10}
",1.0
31.09298024334961,"{1, 3, 5, 6}
{9, 10}
",1.0
29.213203435596434,"{1, 3, 5, 6}
{9, 10}
",1.0
27.62741699796953,"{1, 3, 5, 6}
{9, 10}
",1.0
27.041630560342625,"{1, 3, 5, 6}
{9, 10}
",1.0
25.798989873223338,"{1, 3, 5, 6}
{9, 10}
",1.0
25.798989873223338,"{1, 3, 5, 6}
{9, 10}
",1.0
24.142135623730958,"{1, 3, 5, 6}
{9, 10}
",1.0
23.727922061357862,"{1, 3, 5, 6}
{9, 10}
",1.0
23.313708498984766,"{1, 3, 5, 6}
{9, 10}
",1.0
21.485281374238575,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
21.07106781186548,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
21.07106781186548,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.414213562373096,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.414213562373096,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
19.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
18.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
16.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
16.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
16.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
16.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
15.0,"{1, 3, 5, 6}
{9, 4, 7}
",0.0
